category,question,option1,option2,option3,option4,correct_option
Наука,Какой элемент является основным компонентом воздуха?,Азот,Кислород,Углекислый газ,Водород
Наука,Что такое атом?,Основная единица вещества,Молекула,Ядро,Элемент,Основная единица вещества
Наука,Какой элемент химической таблицы имеет символ H?,Гелий,Водород,Кислород,Углерод,Водород
Наука,Какая планета самая большая в нашей солнечной системе?,Земля,Юпитер,Марс,Сатурн,Юпитер
Наука,Как называется процесс превращения воды в пар?,Кипение,Конденсация,Замерзание,Испарение,Испарение
Наука,Что такое ДНК?,Дезоксирибонуклеиновая кислота,Рибонуклеиновая кислота,Белок,Углевод,Дезоксирибонуклеиновая кислота
Наука,Какое основное свойство воды позволяет ей поддерживать жизнь?,Плотность,Растворимость,Поверхностное натяжение,Термостойкость,Поверхностное натяжение
Наука,Какая единица измеряет электрическое сопротивление?,Ом,Вольт,Ампер,Ватт,Ом
Наука,Какой химический элемент имеет атомный номер 1?,Водород,Гелий,Кислород,Углерод,Водород
Наука,Что такое фотосинтез?,Процесс преобразования света в энергию,Процесс дыхания,Процесс роста,Процесс размножения,Процесс преобразования света в энергию
Наука,Какой орган в теле человека отвечает за циркуляцию крови?,Сердце,Легкие,Печень,Мозг,Сердце
Наука,Какое явление объясняет закон гравитации?,Притяжение тел,Электрическая сила,Магнитное поле,Ядерное взаимодействие,Притяжение тел
Наука,Какой процесс используется для получения электроэнергии в электростанциях?,Сжигание топлива,Фотосинтез,Электролиз,Криптография,Сжигание топлива
Наука,Какой элемент имеет символ Fe?,Фтор,Фосфор,Феррум,Франций,Феррум
Наука,Как называется изучение жизни на Земле?,Биология,Физика,Химия,Астрономия,Биология
Наука,Какой орган у человека отвечает за восприятие звуков?,Ухо,Глаз,Нос,Язык,Ухо
Наука,Какой газ составляет основную часть атмосферы Земли?,Азот,Кислород,Аргон,Углекислый газ,Азот
Наука,Что такое клетка?,Основная структурная единица живого организма,Частица вещества,Молекула,Кристалл,Основная структурная единица живого организма
Наука,Какое свойство материи связано с ее массой?,Инертность,Объем,Скорость,Температура,Инертность
Наука,Какой элемент в таблице Менделеева имеет символ O?,Кислород,Углерод,Азот,Водород,Кислород
Наука,Что такое гравитация?,Сила притяжения,Сила отталкивания,Энергия движения,Сила сопротивления,Сила притяжения
Наука,Какое устройство используется для измерения температуры?,Термометр,Барометр,Гигрометр,Амперметр,Термометр
Наука,Какой элемент имеет символ Na?,Натрий,Никель,Неон,Нейрон,Натрий
Наука,Что такое рН?,Мера кислотности или щелочности,Мера плотности,Мера температуры,Мера давления,Мера кислотности или щелочности
Наука,Какая из перечисленных планет является газовым гигантом?,Сатурн,Земля,Марс,Венера,Сатурн
Наука,Какой элемент необходим для фотосинтеза?,Хлорофилл,Кислород,Углерод,Водород,Хлорофилл
Наука,Какой орган у человека отвечает за координацию движений?,Мозжечок,Сердце,Легкие,Печень,Мозжечок
Наука,Какое состояние вещества имеет определенный объем и форму?,Твердое,Жидкое,Газообразное,Плазма,Твердое
Наука,Какой элемент используется в батарейках?,Литий,Серебро,Золото,Платина,Литий
Наука,Какое явление возникает при изменении температуры газа?,Изменение давления,Изменение объема,Изменение массы,Изменение плотности,Изменение объема
Наука,Какой процесс отвечает за изменение состояния вещества при нагревании?,Теплопередача,Испарение,Конденсация,Сублимация,Теплопередача
Наука,Какой орган у человека очищает кровь?,Почки,Сердце,Легкие,Печень,Почки
Наука,Как называется исследование космоса?,Астрономия,Физика,Химия,Геология,Астрономия
Наука,Какой элемент имеет символ Cl?,Хлор,Калий,Кальций,Кобальт,Хлор
Наука,Как называется наука о поведении и взаимодействии живых существ?,Этология,Зоология,Антропология,Психология,Психология
Наука,Какой элемент находится в составе воды?,Оксиген,Азот,Кремний,Фосфор,Оксиген
Наука,Какой физический закон описывает движение тел при постоянной силе?,Закон Ньютона,Закон Бойля-Мариотта,Закон Гука,Закон Архимеда,Закон Ньютона
Наука,Какой орган у человека отвечает за зрение?,Глаз,Ухо,Нос,Рот,Глаз
Наука,Какой элемент в таблице Менделеева имеет символ Hg?,Ртуть,Радон,Радий,Родий,Ртуть
Наука,Какой газ образуется при горении углеводов?,Углекислый газ,Кислород,Азот,Водород,Углекислый газ
Наука,Как называется процесс, при котором растения преобразуют свет в энергию?,Фотосинтез,Дыхание,Транспирация,Метаболизм,Фотосинтез
Наука,Какой орган у человека отвечает за обмен веществ?,Печень,Сердце,Легкие,Мозг,Печень
Наука,Что такое элементарные частицы?,Частицы атомов,Частицы молекул,Частицы света,Частицы планет,Частицы атомов
Наука,Какой элемент химической таблицы имеет символ K?,Калий,Кальций,Кобальт,Кремний,Калий
Наука,Какой процесс используется для очистки воды?,Фильтрация,Сублимация,Конденсация,Кристаллизация,Фильтрация
Наука,Какой элемент используется в качестве основного компонента для создания стальных сплавов?,Углерод,Кремний,Кобальт,Никель,Углерод
Наука,Какой орган в теле человека отвечает за регуляцию температуры?,Гипоталамус,Сердце,Печень,Легкие,Гипоталамус
Наука,Как называется явление, при котором свет отклоняется в призме?,Дисперсия,Рефракция,Интерференция,Диффузия,Дисперсия
Наука,Какой элемент в таблице Менделеева имеет символ Zn?,Цинк,Золото,Медь,Серебро,Цинк
Наука,Какой процесс отвечает за испарение жидкости при нагревании?,Эвакуация,Выпаривание,Кристаллизация,Гидролиз,Выпаривание
Наука,Какой орган в теле человека отвечает за производство гормонов?,Щитовидная железа,Сердце,Печень,Легкие,Щитовидная железа
Наука,Какой элемент необходим для дыхания человека?,Кислород,Азот,Углерод,Водород,Кислород
Наука,Какой орган у человека отвечает за дыхание?,Легкие,Сердце,Печень,Мозг,Легкие
Наука,Какой элемент в таблице Менделеева имеет символ Ag?,Серебро,Золото,Платина,Медь,Серебро
Наука,Какой процесс происходит в ядре солнца?,Ядерный синтез,Фотосинтез,Кислородное дыхание,Эвакуация,Ядерный синтез
Наука,Какой элемент используется в производстве стекла?,Кремний,Фосфор,Магний,Сера,Кремний
Наука,Какой орган у человека отвечает за кроветворение?,Костный мозг,Печень,Легкие,Сердце,Костный мозг
Наука,Какой элемент в таблице Менделеева имеет символ Pb?,Свинец,Золото,Медь,Ртуть,Свинец
Наука,Какой процесс позволяет растениям выделять кислород?,Фотосинтез,Групповое дыхание,Кислородное дыхание,Транспирация,Фотосинтез
Наука,Какой орган у человека отвечает за пищеварение?,Желудок,Сердце,Печень,Легкие,Желудок
Наука,Какой элемент в таблице Менделеева имеет символ Au?,Золото,Серебро,Медь,Платина,Золото
Технологии,Что такое HTML?,Язык разметки,Язык программирования,Протокол передачи данных,Операционная система
Технологии,Как называется основная единица измерения информации в компьютерах?,Бит,Байт,Гигабайт,Мегабайт,Бит
Технологии,Что такое оперативная память в компьютере?,Память для временного хранения данных,Постоянное хранилище данных,Процессор,Внешнее хранилище,Память для временного хранения данных
Технологии,Какой язык программирования был разработан для веб-разработки?,JavaScript,Python,C++,Java,JavaScript
Технологии,Что такое интернет?,Глобальная сеть компьютерных сетей,Компьютерная программа,Тип устройства,Тип операционной системы,Глобальная сеть компьютерных сетей
Технологии,Что такое HTML?,Язык разметки гипертекста,Язык программирования,Операционная система,Браузер,Язык разметки гипертекста
Технологии,Какая технология используется для беспроводной передачи данных на короткие расстояния?,Bluetooth,Wi-Fi,4G,5G,Bluetooth
Технологии,Что такое API?,Интерфейс программирования приложений,Операционная система,Сетевая карта,Веб-браузер,Интерфейс программирования приложений
Технологии,Какой элемент компьютера отвечает за выполнение команд?,Процессор,Оперативная память,Жесткий диск,Материнская плата,Процессор
Технологии,Какой файл-формат используется для хранения изображений в интернете?,JPEG,PDF,DOCX,MP3,JPEG
Технологии,Какой элемент компьютера используется для хранения данных на долгосрочной основе?,Жесткий диск,Процессор,Оперативная память,Видеокарта,Жесткий диск
Технологии,Что такое операционная система?,Программное обеспечение для управления аппаратным обеспечением,Процессор,Браузер,Сетевой кабель,Программное обеспечение для управления аппаратным обеспечением
Технологии,Что такое кэш-память?,Быстрая память для ускорения работы процессора,Жесткий диск,Оперативная память,Видеокарта,Быстрая память для ускорения работы процессора
Технологии,Какой язык программирования является объектно-ориентированным и широко используется в разработке веб-приложений?,Java,Python,C++,Ruby,Java
Технологии,Что такое сервер?,Компьютер, предоставляющий услуги другим компьютерам,Личное устройство пользователя,Модем,Принтер,Компьютер, предоставляющий услуги другим компьютерам
Технологии,Какой протокол используется для защиты данных в интернете?,HTTPS,HTTP,FTP,SMTP,HTTPS
Технологии,Что такое IP-адрес?,Уникальный идентификатор устройства в сети,Пароль для доступа в интернет,Виртуальная машина,Тип браузера,Уникальный идентификатор устройства в сети
Технологии,Какой элемент компьютера используется для обработки графики?,Видеокарта,Процессор,Оперативная память,Жесткий диск,Видеокарта
Технологии,Что такое виртуальная машина?,Программное обеспечение для создания и запуска виртуальных компьютеров,Тип жесткого диска,Устройство для ввода данных,Тип процессора,Программное обеспечение для создания и запуска виртуальных компьютеров
Технологии,Как называется процесс обновления программного обеспечения?,Обновление,Установка,Удаление,Ремонт,Обновление
Технологии,Что такое браузер?,Программа для просмотра веб-страниц,Сервер,Операционная система,Видеокарта,Программа для просмотра веб-страниц
Технологии,Какой язык программирования используется для создания веб-страниц?,HTML,JavaScript,C++,Python,HTML
Технологии,Что такое облачные технологии?,Хранение и обработка данных в интернете,Местное хранилище данных,Физическое устройство,Сетевые кабели,Хранение и обработка данных в интернете
Технологии,Какой элемент компьютера отвечает за ввод данных?,Клавиатура,Процессор,Оперативная память,Жесткий диск,Клавиатура
Технологии,Что такое программное обеспечение?,Комплекты программ для управления компьютером,Операционная система,Жесткий диск,Сетевой кабель,Комплекты программ для управления компьютером
Технологии,Какой язык программирования используется для разработки мобильных приложений для iOS?,Swift,Java,Python,C++,Swift
Технологии,Что такое кодировка данных?,Процесс преобразования данных в удобный для хранения формат,Процесс запуска программ,Процесс ввода данных,Процесс обновления ПО,Процесс преобразования данных в удобный для хранения формат
Технологии,Какой элемент компьютера обеспечивает связь с интернетом?,Сетевая карта,Процессор,Оперативная память,Видеокарта,Сетевая карта
Технологии,Что такое VPN?,Служба для защиты данных и анонимности в интернете,Антивирусная программа,Устройство ввода данных,Тип жесткого диска,Служба для защиты данных и анонимности в интернете
Технологии,Какой язык программирования используется для серверной разработки?,PHP,JavaScript,C++,Swift,PHP
Технологии,Что такое SQL?,Язык запросов к базе данных,Операционная система,Язык разметки,Программное обеспечение,Язык запросов к базе данных
Технологии,Какой тип памяти не теряет данные после отключения питания?,Флеш-память,Оперативная память,Кэш-память,Виртуальная память,Флеш-память
Технологии,Что такое блокчейн?,Технология для хранения данных в распределенных системах,Тип базы данных,Программный язык,Тип процессора,Технология для хранения данных в распределенных системах
Технологии,Какой язык программирования используется для автоматизации задач на Windows?,PowerShell,Python,Java,C++,PowerShell
Технологии,Что такое фронтенд в веб-разработке?,Часть веб-приложения, отвечающая за пользовательский интерфейс,Серверная часть приложения,База данных,Операционная система,Часть веб-приложения, отвечающая за пользовательский интерфейс
Технологии,Какой элемент компьютера обеспечивает долгое хранение данных?,Жесткий диск,Оперативная память,Процессор,Видеокарта,Жесткий диск
Технологии,Что такое байт?,Единица измерения объема данных,Единица измерения скорости,Единица измерения температуры,Единица измерения времени,Единица измерения объема данных
